Iscritti alle scuole d'infanzia
Ente;2021;
Ala;234;
Albiano;47;
Aldeno;77;
Altavalle;36;
Altopiano della Vigolana;135;
Amblar-Don;0;
Andalo;36;
Arco;408;
Avio;116;
Baselga di Pine';130;
Bedollo;33;
Besenello;73;
Bieno;22;
Bleggio Superiore;36;
Bocenago;0;
Bondone;12;
Borgo Chiese;50;
Borgo d'Anaunia;58;
Borgo Lares;34;
Borgo Valsugana;153;
Brentonico;99;
Bresimo;0;
Caderzone Terme;0;
Calceranica al Lago;42;
Caldes;0;
Caldonazzo;104;
Calliano;62;
Campitello di Fassa-Ciampedel;14;
Campodenno;41;
Canal San Bovo;27;
Canazei-Cianacei;53;
Capriana;12;
Carisolo;33;
Carzano;0;
Castel Condino;0;
Castel Ivano;86;
Castello Tesino;20;
Castello-Molina di Fiemme;56;
Castelnuovo;36;
Cavalese;70;
Cavareno;53;
Cavedago;8;
Cavedine;73;
Cavizzana;0;
Cembra Lisignago;70;
Cimone;22;
Cinte Tesino;0;
Cis;0;
Civezzano;100;
Cles;199;
Comano Terme;88;
Commezzadura;0;
Contà;23;
Croviana;0;
Dambel;9;
Denno;24;
Dimaro Folgarida;63;
Drena;0;
Dro;167;
Fai della Paganella;23;
Fiave';17;
Fierozzo-Vlarötz;22;
Folgaria;45;
Fornace;29;
Frassilongo-Garait;0;
Garniga Terme;0;
Giovo;89;
Giustino;0;
Grigno;43;
Imer;21;
Isera;69;
Lavarone;23;
Lavis;263;
Ledro;116;
Levico Terme;200;
Livo;18;
Lona-Lases;21;
Luserna-Lusérn;7;
Madruzzo;69;
Male';60;
Massimeno;0;
Mazzin-Mazin;0;
Mezzana;45;
Mezzano;35;
Mezzocorona;171;
Mezzolombardo;191;
Moena-Moena;43;
Molveno;21;
Mori;235;
Nago-Torbole;69;
Nogaredo;46;
Nomi;42;
Novaledo;35;
Novella;94;
Ospedaletto;20;
Ossana;9;
Palù del Fersina-Palai en Bersntol;0;
Panchia';14;
Peio;46;
Pellizzano;20;
Pelugo;0;
Pergine Valsugana;559;
Pieve di Bono-Prezzo;35;
Pieve Tesino;18;
Pinzolo;62;
Pomarolo;61;
Porte di Rendena;0;
Predaia;234;
Predazzo;85;
Primiero San Martino di Castrozza;117;
Rabbi;37;
Riva del Garda;444;
Romeno;35;
Roncegno Terme;66;
Ronchi Valsugana;16;
Ronzo-Chienis;34;
Ronzone;0;
Rovere' della Luna;34;
Rovereto;1041;
Ruffre'-Mendola;6;
Rumo;17;
Sagron Mis;0;
Samone;0;
San Giovanni di Fassa-Sèn Jan;108;
San Lorenzo Dorsino;39;
San Michele all'Adige;118;
Sant'Orsola Terme;29;
Sanzeno;32;
Sarnonico;23;
Scurelle;39;
Segonzano;21;
Sella Giudicarie;90;
Sfruz;0;
Soraga di Fassa-Soraga;16;
Sover;14;
Spiazzo;113;
Spormaggiore;28;
Sporminore;16;
Stenico;33;
Storo;114;
Strembo;0;
Telve;54;
Telve di Sopra;0;
Tenna;26;
Tenno;43;
Terragnolo;11;
Terre d'Adige;107;
Terzolas;50;
Tesero;76;
Tione di Trento;95;
Ton;27;
Torcegno;23;
Trambileno;26;
Tre Ville;66;
Trento;2915;
Valdaone;16;
Valfloriana;9;
Vallarsa;37;
Vallelaghi;102;
Vermiglio;48;
Vignola-Falesina;0;
Villa Lagarina;119;
Ville d'Anaunia;105;
Ville di Fiemme;50;
Volano;61;
Ziano di Fiemme;38;
Provincia di Trento;13453;
