Iscritti alle scuole elementari
Ente;2021;
Ala;414;
Albiano;104;
Aldeno;156;
Altavalle;59;
Altopiano della Vigolana;262;
Amblar-Don;0;
Andalo;69;
Arco;972;
Avio;198;
Baselga di Pine';250;
Bedollo;61;
Besenello;139;
Bieno;0;
Bleggio Superiore;80;
Bocenago;0;
Bondone;0;
Borgo Chiese;90;
Borgo d'Anaunia;130;
Borgo Lares;69;
Borgo Valsugana;277;
Brentonico;177;
Bresimo;0;
Caderzone Terme;59;
Calceranica al Lago;81;
Caldes;63;
Caldonazzo;190;
Calliano;102;
Campitello di Fassa-Ciampedel;0;
Campodenno;66;
Canal San Bovo;75;
Canazei-Cianacei;131;
Capriana;19;
Carisolo;75;
Carzano;0;
Castel Condino;0;
Castel Ivano;121;
Castello Tesino;0;
Castello-Molina di Fiemme;129;
Castelnuovo;60;
Cavalese;180;
Cavareno;88;
Cavedago;0;
Cavedine;105;
Cavizzana;0;
Cembra Lisignago;126;
Cimone;45;
Cinte Tesino;0;
Cis;0;
Civezzano;183;
Cles;344;
Comano Terme;141;
Commezzadura;67;
Contà;52;
Croviana;71;
Dambel;0;
Denno;90;
Dimaro Folgarida;63;
Drena;0;
Dro;348;
Fai della Paganella;23;
Fiave';58;
Fierozzo-Vlarötz;31;
Folgaria;84;
Fornace;72;
Frassilongo-Garait;0;
Garniga Terme;0;
Giovo;117;
Giustino;40;
Grigno;70;
Imer;0;
Isera;151;
Lavarone;71;
Lavis;454;
Ledro;199;
Levico Terme;367;
Livo;60;
Lona-Lases;32;
Luserna-Lusérn;0;
Madruzzo;165;
Male';112;
Massimeno;0;
Mazzin-Mazin;0;
Mezzana;0;
Mezzano;156;
Mezzocorona;285;
Mezzolombardo;381;
Moena-Moena;136;
Molveno;33;
Mori;394;
Nago-Torbole;130;
Nogaredo;76;
Nomi;44;
Novaledo;67;
Novella;147;
Ospedaletto;34;
Ossana;68;
Palù del Fersina-Palai en Bersntol;0;
Panchia';0;
Peio;80;
Pellizzano;0;
Pelugo;0;
Pergine Valsugana;1058;
Pieve di Bono-Prezzo;116;
Pieve Tesino;66;
Pinzolo;60;
Pomarolo;136;
Porte di Rendena;109;
Predaia;367;
Predazzo;164;
Primiero San Martino di Castrozza;192;
Rabbi;51;
Riva del Garda;881;
Romeno;68;
Roncegno Terme;142;
Ronchi Valsugana;39;
Ronzo-Chienis;65;
Ronzone;0;
Rovere' della Luna;64;
Rovereto;2124;
Ruffre'-Mendola;0;
Rumo;32;
Sagron Mis;0;
Samone;38;
San Giovanni di Fassa-Sèn Jan;181;
San Lorenzo Dorsino;62;
San Michele all'Adige;225;
Sant'Orsola Terme;46;
Sanzeno;46;
Sarnonico;57;
Scurelle;77;
Segonzano;58;
Sella Giudicarie;147;
Sfruz;0;
Soraga di Fassa-Soraga;0;
Sover;24;
Spiazzo;52;
Spormaggiore;93;
Sporminore;0;
Stenico;48;
Storo;254;
Strembo;0;
Telve;107;
Telve di Sopra;49;
Tenna;55;
Tenno;116;
Terragnolo;14;
Terre d'Adige;190;
Terzolas;0;
Tesero;170;
Tione di Trento;173;
Ton;53;
Torcegno;0;
Trambileno;40;
Tre Ville;123;
Trento;5529;
Valdaone;0;
Valfloriana;15;
Vallarsa;42;
Vallelaghi;215;
Vermiglio;81;
Vignola-Falesina;0;
Villa Lagarina;207;
Ville d'Anaunia;186;
Ville di Fiemme;120;
Volano;134;
Ziano di Fiemme;88;
Provincia di Trento;25567;
