Scuole elementari
Ente;2012;
Ala;2;
Albiano;1;
Aldeno;1;
Altavalle;2;
Altopiano della Vigolana;3;
Amblar-Don;0;
Andalo;1;
Arco;5;
Avio;2;
Baselga di Pine';2;
Bedollo;1;
Besenello;1;
Bieno;0;
Bleggio Superiore;1;
Bocenago;0;
Bondone;0;
Borgo Chiese;1;
Borgo d'Anaunia;2;
Borgo Lares;1;
Borgo Valsugana;1;
Brentonico;1;
Bresimo;0;
Caderzone Terme;1;
Calceranica al Lago;1;
Caldes;1;
Caldonazzo;1;
Calliano;1;
Campitello di Fassa-Ciampedel;0;
Campodenno;1;
Canal San Bovo;1;
Canazei-Cianacei;1;
Capriana;1;
Carisolo;1;
Carzano;0;
Castel Condino;0;
Castel Ivano;2;
Castello Tesino;0;
Castello-Molina di Fiemme;2;
Castelnuovo;1;
Cavalese;2;
Cavareno;1;
Cavedago;0;
Cavedine;2;
Cavizzana;0;
Cembra Lisignago;1;
Cimone;1;
Cinte Tesino;0;
Cis;0;
Civezzano;2;
Cles;1;
Comano Terme;1;
Commezzadura;1;
Contà;1;
Croviana;1;
Dambel;0;
Denno;1;
Dimaro Folgarida;1;
Drena;0;
Dro;2;
Fai della Paganella;1;
Fiave';1;
Fierozzo-Vlarötz;1;
Folgaria;1;
Fornace;1;
Frassilongo-Garait;0;
Garniga Terme;0;
Giovo;1;
Giustino;1;
Grigno;1;
Imer;1;
Isera;1;
Lavarone;1;
Lavis;2;
Ledro;3;
Levico Terme;1;
Livo;1;
Lona-Lases;1;
Luserna-Lusérn;0;
Madruzzo;2;
Male';1;
Massimeno;0;
Mazzin-Mazin;0;
Mezzana;1;
Mezzano;2;
Mezzocorona;1;
Mezzolombardo;1;
Moena-Moena;1;
Molveno;1;
Mori;1;
Nago-Torbole;2;
Nogaredo;1;
Nomi;1;
Novaledo;1;
Novella;2;
Ospedaletto;1;
Ossana;1;
Palù del Fersina-Palai en Bersntol;0;
Panchia';1;
Peio;1;
Pellizzano;1;
Pelugo;0;
Pergine Valsugana;7;
Pieve di Bono-Prezzo;1;
Pieve Tesino;1;
Pinzolo;2;
Pomarolo;1;
Porte di Rendena;1;
Predaia;3;
Predazzo;1;
Primiero San Martino di Castrozza;3;
Rabbi;1;
Riva del Garda;4;
Romeno;1;
Roncegno Terme;2;
Ronchi Valsugana;1;
Ronzo-Chienis;1;
Ronzone;0;
Rovere' della Luna;1;
Rovereto;9;
Ruffre'-Mendola;0;
Rumo;1;
Sagron Mis;0;
Samone;1;
San Giovanni di Fassa-Sèn Jan;2;
San Lorenzo Dorsino;1;
San Michele all'Adige;2;
Sant'Orsola Terme;1;
Sanzeno;1;
Sarnonico;1;
Scurelle;1;
Segonzano;1;
Sella Giudicarie;2;
Sfruz;0;
Soraga di Fassa-Soraga;1;
Sover;1;
Spiazzo;1;
Spormaggiore;1;
Sporminore;1;
Stenico;1;
Storo;2;
Strembo;0;
Telve;1;
Telve di Sopra;1;
Tenna;1;
Tenno;1;
Terragnolo;1;
Terre d'Adige;2;
Terzolas;0;
Tesero;1;
Tione di Trento;1;
Ton;1;
Torcegno;1;
Trambileno;1;
Tre Ville;1;
Trento;32;
Valdaone;0;
Valfloriana;1;
Vallarsa;1;
Vallelaghi;2;
Vermiglio;2;
Vignola-Falesina;0;
Villa Lagarina;1;
Ville d'Anaunia;2;
Ville di Fiemme;3;
Volano;1;
Ziano di Fiemme;1;
Provincia di Trento;224;
