Ente;tasso_2011;
Ala;33,2;
Albiano;37,3;
Aldeno;39,7;
Altavalle;33,2;
Altopiano della Vigolana;27,1;
Amblar-Don;32,4;
Andalo;27,2;
Arco;33,7;
Avio;37,5;
Baselga di Pine';28,5;
Bedollo;29,8;
Besenello;28,3;
Bieno;29,8;
Bleggio Superiore;29,9;
Bocenago;36,6;
Bondone;34,5;
Borgo Chiese;34,7;
Borgo d'Anaunia;32,5;
Borgo Lares;30,0;
Borgo Valsugana;32,0;
Brentonico;28,3;
Bresimo;27,7;
Caderzone Terme;35,2;
Calceranica al Lago;30,5;
Caldes;30,0;
Caldonazzo;30,7;
Calliano;32,5;
Campitello di Fassa-Ciampedel;37,9;
Campodenno;32,2;
Canal San Bovo;28,3;
Canazei-Cianacei;37,8;
Capriana;37,8;
Carisolo;35,1;
Carzano;31,0;
Castel Condino;45,3;
Castel Ivano;30,9;
Castello Tesino;29,7;
Castello-Molina di Fiemme;36,3;
Castelnuovo;35,5;
Cavalese;36,3;
Cavareno;29,9;
Cavedago;26,0;
Cavedine;33,6;
Cavizzana;36,9;
Cembra Lisignago;33,5;
Cimone;35,7;
Cinte Tesino;30,6;
Cis;29,8;
Civezzano;28,8;
Cles;32,0;
Comano Terme;30,3;
Commezzadura;32,2;
Contà;26,4;
Croviana;30,0;
Dambel;25,0;
Denno;32,6;
Dimaro Folgarida;33,8;
Drena;31,9;
Dro;35,6;
Fai della Paganella;29,6;
Fiave';31,4;
Fierozzo-Vlarötz;33,9;
Folgaria;26,9;
Fornace;33,7;
Frassilongo-Garait;31,8;
Garniga Terme;30,6;
Giovo;30,8;
Giustino;28,0;
Grigno;31,4;
Imer;30,1;
Isera;26,8;
Lavarone;32,0;
Lavis;34,7;
Ledro;30,2;
Levico Terme;30,7;
Livo;31,5;
Lona-Lases;37,9;
Luserna-Lusérn;20,4;
Madruzzo;31,9;
Male';28,6;
Massimeno;33,3;
Mazzin-Mazin;36,1;
Mezzana;32,4;
Mezzano;28,0;
Mezzocorona;32,4;
Mezzolombardo;35,5;
Moena-Moena;33,1;
Molveno;31,2;
Mori;31,2;
Nago-Torbole;29,2;
Nogaredo;28,6;
Nomi;29,0;
Novaledo;34,3;
Novella;31,4;
Ospedaletto;29,5;
Ossana;25,1;
Palù del Fersina-Palai en Bersntol;28,9;
Panchia';43,0;
Peio;26,6;
Pellizzano;26,1;
Pelugo;37,9;
Pergine Valsugana;31,0;
Pieve di Bono-Prezzo;31,0;
Pieve Tesino;28,8;
Pinzolo;28,5;
Pomarolo;31,5;
Porte di Rendena;30,2;
Predaia;31,6;
Predazzo;38,5;
Primiero San Martino di Castrozza;30,4;
Rabbi;30,7;
Riva del Garda;33,5;
Romeno;34,8;
Roncegno Terme;28,8;
Ronchi Valsugana;31,6;
Ronzo-Chienis;28,1;
Ronzone;26,9;
Rovere' della Luna;34,6;
Rovereto;28,5;
Ruffre'-Mendola;31,3;
Rumo;29,8;
Sagron Mis;26,5;
Samone;31,6;
San Giovanni di Fassa-Sèn Jan;33,8;
San Lorenzo Dorsino;30,6;
San Michele all'Adige;31,7;
Sant'Orsola Terme;30,5;
Sanzeno;30,4;
Sarnonico;33,1;
Scurelle;31,3;
Segonzano;33,4;
Sella Giudicarie;32,5;
Sfruz;27,7;
Soraga di Fassa-Soraga;36,8;
Sover;36,4;
Spiazzo;29,9;
Spormaggiore;33,3;
Sporminore;32,0;
Stenico;30,4;
Storo;35,5;
Strembo;29,3;
Telve;32,0;
Telve di Sopra;27,4;
Tenna;27,2;
Tenno;30,6;
Terragnolo;26,6;
Terre d'Adige;35,0;
Terzolas;26,6;
Tesero;38,3;
Tione di Trento;33,7;
Ton;32,6;
Torcegno;33,3;
Trambileno;29,7;
Tre Ville;29,5;
Trento;28,8;
Valdaone;29,1;
Valfloriana;33,4;
Vallarsa;26,5;
Vallelaghi;29,9;
Vermiglio;31,9;
Vignola-Falesina;29,8;
Villa Lagarina;29,0;
Ville d'Anaunia;29,5;
Ville di Fiemme;33,7;
Volano;28,5;
Ziano di Fiemme;34,2;
Provincia di Trento;31,0;




