Ente;tasso_2011;
Ala;42,2;
Albiano;35,3;
Aldeno;39,1;
Altavalle;38,4;
Altopiano della Vigolana;45,6;
Amblar-Don;41,2;
Andalo;47,7;
Arco;42,0;
Avio;41,0;
Baselga di Pine';43,5;
Bedollo;42,5;
Besenello;45,4;
Bieno;38,9;
Bleggio Superiore;34,8;
Bocenago;42,9;
Bondone;31,5;
Borgo Chiese;36,3;
Borgo d'Anaunia;38,4;
Borgo Lares;39,4;
Borgo Valsugana;40,9;
Brentonico;41,7;
Bresimo;34,2;
Caderzone Terme;36,4;
Calceranica al Lago;41,7;
Caldes;39,9;
Caldonazzo;43,7;
Calliano;44,6;
Campitello di Fassa-Ciampedel;34,1;
Campodenno;38,7;
Canal San Bovo;36,8;
Canazei-Cianacei;37,7;
Capriana;33,5;
Carisolo;39,2;
Carzano;43,6;
Castel Condino;30,3;
Castel Ivano;42,9;
Castello Tesino;35,0;
Castello-Molina di Fiemme;35,9;
Castelnuovo;39,6;
Cavalese;38,8;
Cavareno;42,7;
Cavedago;42,9;
Cavedine;40,7;
Cavizzana;44,4;
Cembra Lisignago;39,2;
Cimone;32,9;
Cinte Tesino;35,5;
Cis;39,1;
Civezzano;42,7;
Cles;40,2;
Comano Terme;43,0;
Commezzadura;41,9;
Contà;41,3;
Croviana;45,7;
Dambel;41,7;
Denno;38,1;
Dimaro Folgarida;40,8;
Drena;46,4;
Dro;42,8;
Fai della Paganella;37,4;
Fiave';41,5;
Fierozzo-Vlarötz;30,6;
Folgaria;42,1;
Fornace;44,1;
Frassilongo-Garait;27,6;
Garniga Terme;33,9;
Giovo;40,5;
Giustino;45,6;
Grigno;39,3;
Imer;44,0;
Isera;43,8;
Lavarone;45,3;
Lavis;41,8;
Ledro;42,4;
Levico Terme;41,4;
Livo;37,5;
Lona-Lases;35,2;
Luserna-Lusérn;39,2;
Madruzzo;42,6;
Male';38,4;
Massimeno;43,0;
Mazzin-Mazin;35,8;
Mezzana;42,6;
Mezzano;46,5;
Mezzocorona;39,5;
Mezzolombardo;38,9;
Moena-Moena;43,3;
Molveno;44,0;
Mori;43,1;
Nago-Torbole;44,0;
Nogaredo;43,2;
Nomi;36,5;
Novaledo;39,7;
Novella;41,7;
Ospedaletto;41,7;
Ossana;51,8;
Palù del Fersina-Palai en Bersntol;28,8;
Panchia';35,2;
Peio;47,7;
Pellizzano;40,1;
Pelugo;39,0;
Pergine Valsugana;41,7;
Pieve di Bono-Prezzo;38,5;
Pieve Tesino;36,4;
Pinzolo;42,9;
Pomarolo;43,0;
Porte di Rendena;43,0;
Predaia;42,0;
Predazzo;37,7;
Primiero San Martino di Castrozza;44,0;
Rabbi;35,6;
Riva del Garda;39,2;
Romeno;38,0;
Roncegno Terme;41,0;
Ronchi Valsugana;41,9;
Ronzo-Chienis;39,6;
Ronzone;47,0;
Rovere' della Luna;34,4;
Rovereto;41,7;
Ruffre'-Mendola;37,7;
Rumo;38,1;
Sagron Mis;36,1;
Samone;39,8;
San Giovanni di Fassa-Sèn Jan;43,2;
San Lorenzo Dorsino;41,1;
San Michele all'Adige;42,7;
Sant'Orsola Terme;43,9;
Sanzeno;38,8;
Sarnonico;42,4;
Scurelle;39,8;
Segonzano;37,9;
Sella Giudicarie;41,9;
Sfruz;38,8;
Soraga di Fassa-Soraga;44,8;
Sover;29,1;
Spiazzo;40,7;
Spormaggiore;46,5;
Sporminore;37,1;
Stenico;44,2;
Storo;37,0;
Strembo;38,7;
Telve;40,4;
Telve di Sopra;44,9;
Tenna;44,6;
Tenno;42,4;
Terragnolo;40,7;
Terre d'Adige;39,1;
Terzolas;46,5;
Tesero;38,0;
Tione di Trento;38,5;
Ton;37,9;
Torcegno;42,2;
Trambileno;42,4;
Tre Ville;42,6;
Trento;40,1;
Valdaone;40,3;
Valfloriana;28,5;
Vallarsa;40,0;
Vallelaghi;41,8;
Vermiglio;45,5;
Vignola-Falesina;47,3;
Villa Lagarina;42,8;
Ville d'Anaunia;40,8;
Ville di Fiemme;38,1;
Volano;45,0;
Ziano di Fiemme;41,8;
Provincia di Trento;40,9;




